"problem","title","boj_code_file","tag_code_file","study_group","reason","official_tags","original_code_file"
"1764","듣보잡","1764_set_map.cpp","1764.cpp","03_DATA_STRUCTURE/set_map","official:hash_set","data_structures;string;sorting;set;hash_set","1764.cpp"
"1890","점프","1890_dp.cpp","1890.cpp","01_DP/dp","filename:dp","dp","1890_dp.cpp"
"1900","레슬러","1900_greedy.cpp","1900.cpp","09_PARADIGM/greedy","official:greedy","greedy;sorting","1900.cpp"
"1904","01타일","1904_dp.cpp","1904.cpp","01_DP/dp","code+official:dp","dp","1904.cpp"
"1911","흙길 보수하기","1911_sweeping.cpp","1911.cpp","08_TECHNIQUE/sweeping","official:sweeping","greedy;sorting;sweeping","1911.cpp"
"1916","최소비용 구하기","1916_dijkstra.cpp","1916.cpp","02_GRAPH/dijkstra","filename:dijkstra","graphs;shortest_path;dijkstra","1916_dijkstra.cpp"
"1918","후위 표기식","1918_stack.cpp","1918.cpp","03_DATA_STRUCTURE/stack","filename:infix_postfix","data_structures;stack","1918_infix_postfix.cpp"
"1919","애너그램 만들기","1919_string.cpp","1919.cpp","06_STRING/string","filename:string","implementation;string;set","1919_string.cpp"
"1922","네트워크 연결","1922_mst.cpp","1922.cpp","02_GRAPH/mst","official:mst (DSU is subordinate)","graphs;mst","1922.cpp"
"1927","최소 힙","1927_priority_queue.cpp","1927.cpp","03_DATA_STRUCTURE/priority_queue","official:priority_queue","data_structures;priority_queue","1927.cpp"
"1931","회의실 배정","1931_greedy.cpp","1931.cpp","09_PARADIGM/greedy","official:greedy","greedy;sorting","1931.cpp"
"1932","정수 삼각형","1932_dp.cpp","1932.cpp","01_DP/dp","filename:dp","dp","1932_dp.cpp"
"1958","LCS 3","1958_lcs.cpp","1958.cpp","01_DP/lcs","filename:lcs","dp;string;lcs","1958_LCS.cpp"
"1965","상자넣기","1965_lis.cpp","1965.cpp","01_DP/lis","filename:lis_dp","dp;lis","1965_lis_dp.cpp"
"1977","완전제곱수","1977_bruteforce.cpp","1977.cpp","05_SEARCH/bruteforce","official:bruteforcing","math;implementation;bruteforcing","1977.cpp"
"1985","디지털 친구","1985_bruteforce.cpp","1985.cpp","05_SEARCH/bruteforce","official:bruteforcing","string;bruteforcing","!1985.cpp"
"1987","알파벳","1987_backtracking.cpp","1987.cpp","05_SEARCH/backtracking","filename:back_tracking","graphs;graph_traversal;dfs;backtracking;grid_graph","1987_back_tracking.cpp"
"1989","부분배열 고르기 2","1989_monotone_stack_prefix_sum.cpp","1989.cpp","03_DATA_STRUCTURE/monotone_stack","code-audit:1989_array.cpp","data_structures;segtree;prefix_sum;divide_and_conquer;stack","1989_array.cpp"
"1989","부분배열 고르기 2","1989_monotone_stack_prefix_sum.cpp","1989.cpp","08_TECHNIQUE/prefix_sum","code-audit:1989_array.cpp","data_structures;segtree;prefix_sum;divide_and_conquer;stack","1989_array.cpp"
"1992","쿼드트리","1992_divide_and_conquer.cpp","1992.cpp","09_PARADIGM/divide_and_conquer","filename:divide","divide_and_conquer;recursion","1992_divide.cpp"
"2002","추월","2002_set_map.cpp","2002.cpp","03_DATA_STRUCTURE/set_map","official:hash_set","implementation;data_structures;string;set;hash_set","2002.cpp"
"2003","수들의 합 2","2003_two_pointer.cpp","2003.cpp","05_SEARCH/two_pointer","filename:two_pointer","bruteforcing;prefix_sum;two_pointer","2003_two_pointer.cpp"
"2010","플러그","2010_math.cpp","2010.cpp","07_MATH/math","official:arithmetic","math;arithmetic","2010.cpp"
"2036","수열의 점수","2036_greedy.cpp","2036.cpp","09_PARADIGM/greedy","filename:greedy","greedy;sorting","2036_greedy.cpp"
"2042","구간 합 구하기","2042_segment_tree.cpp","2042.cpp","03_DATA_STRUCTURE/segment_tree","filename:seg","segtree;data_structures","2042_seg.cpp"
"2061","좋은 암호","2061_bruteforce.cpp","2061.cpp","05_SEARCH/bruteforce","official:bruteforcing","math;bruteforcing;arbitrary_precision","2061.cpp"
"2065","나룻배","2065_queue.cpp","2065.cpp","03_DATA_STRUCTURE/queue","filename:queue","implementation;data_structures;simulation;queue","2065_queue.cpp"
"2083","럭비 클럽","2083_implementation.cpp","2083.cpp","10_IMPLEMENTATION/implementation","official:implementation","implementation","2083.cpp"
"2098","외판원 순회","2098_tsp.cpp","2098.cpp","01_DP/tsp","filename:tsp","bitmask;dp;dp_bitfield;tsp","2098_TSP.cpp"
"2104","부분배열 고르기","2104_stack.cpp","2104.cpp","03_DATA_STRUCTURE/stack","filename:stack","data_structures;segtree;divide_and_conquer;stack","2104_stack.cpp"
"2110","공유기 설치","2110_binary_search.cpp","2110.cpp","05_SEARCH/binary_search","filename:binary_serch","binary_search;parametric_search","2110_binary_serch.cpp"
"2150","Strongly Connected Component","2150_scc.cpp","2150.cpp","02_GRAPH/scc","filename:scc","graphs;scc","2150_SCC.cpp"
"2156","포도주 시식","2156_dp.cpp","2156.cpp","01_DP/dp","filename:dp_defualt","dp","2156_dp_defualt.cpp"
"2162","선분 그룹","2162_line_intersection.cpp","2162.cpp","04_GEOMETRY/line_intersection","filename:ccw3","data_structures;geometry;disjoint_set;line_intersection","2162_ccw3.cpp"
"2167","2차원 배열의 합","2167_prefix_sum.cpp","2167.cpp","08_TECHNIQUE/prefix_sum","filename:prefix_sum","implementation;prefix_sum","2167_prefix_sum.cpp"
"2170","선 긋기","2170_sweeping.cpp","2170.cpp","08_TECHNIQUE/sweeping","official:sweeping","sorting;sweeping","2170.cpp"
"2178","미로 탐색","2178_bfs.cpp","2178.cpp","02_GRAPH/bfs","filename:bfs","graphs;graph_traversal;bfs;grid_graph","2178_bfs.cpp"
"2193","이친수","2193_dp.cpp","2193.cpp","01_DP/dp","filename:dp","dp","2193_dp.cpp"
"2212","센서","2212_greedy.cpp","2212.cpp","09_PARADIGM/greedy","filename:greedy","greedy;sorting","2212_greedy.cpp"
"2217","로프","2217_greedy.cpp","2217.cpp","09_PARADIGM/greedy","filename:greedy","math;greedy;sorting","2217_greedy.cpp"
"2231","분해합","2231_bruteforce.cpp","2231.cpp","05_SEARCH/bruteforce","official:bruteforcing","bruteforcing","2231.cpp"
"2243","사탕상자","2243_binary_search_segment_tree.cpp","2243.cpp","03_DATA_STRUCTURE/segment_tree","filename:seg_bin","binary_search;segtree;data_structures","2243_seg_bin.cpp"
"2243","사탕상자","2243_binary_search_segment_tree.cpp","2243.cpp","05_SEARCH/binary_search","filename:seg_bin","binary_search;segtree;data_structures","2243_seg_bin.cpp"
"2268","수들의 합 7","2268_segment_tree.cpp","2268.cpp","03_DATA_STRUCTURE/segment_tree","filename:segtree","segtree;data_structures","2268_segtree.cpp"
"2293","동전 1","2293_dp.cpp","2293.cpp","01_DP/dp","filename:dp","dp","2293_dp.cpp"
"2309","일곱 난쟁이","2309_bruteforce.cpp","2309.cpp","05_SEARCH/bruteforce","official:bruteforcing","bruteforcing;sorting","2309.cpp"
"2357","최솟값과 최댓값","2357_segment_tree.cpp","2357.cpp","03_DATA_STRUCTURE/segment_tree","filename:seg_defa","segtree;data_structures","2357_seg_defa.cpp"
"2407","조합","2407_big_integer.cpp","2407.cpp","07_MATH/big_integer","filename:big_number_sum_dp","math;combinatorics;arbitrary_precision","2407_big_number_sum_dp.cpp"
"2410","2의 멱수의 합","2410_dp.cpp","2410.cpp","01_DP/dp","filename:dp","dp","2410_dp.cpp"
"2420","사파리월드","2420_math.cpp","2420.cpp","07_MATH/math","official:arithmetic","implementation;arithmetic;math","2420.cpp"
